attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,class
50,38,74579,81254,2716,13572,17270,12496,7078,2079,5
44,29,1744111,163515,57596,47412,71305,23949,11717,14343,5
23,16,1420546,931272,106637,21535,87166,31873,30578,9109,5
26,37,63193,35267,21924,42523,6101,9685,8348,3784,5
30,43,62490,60199,15767,12283,22638,23645,5961,10291,5
48,47,28443,7332,11384,7290,6314,16204,8994,4760,5
63,63,727152,33431,18363,29278,10649,15464,4776,2904,5
69,54,114419,31930,7208,13751,4811,10100,3099,6492,5
74,50,48448,52842,9986,6731,15544,30304,6887,2317,5
60,37,533076,123597,15833,10322,29575,18145,23955,7215,5
41,26,2025325,354983,43867,51385,14767,8232,11819,9882,5
40,16,996358,339360,36203,19059,26197,59075,50713,16467,5
23,17,411778,333779,48445,54960,88124,24283,29539,25008,5
16,34,296139,62166,30704,38799,27352,6970,6925,5490,5
29,37,418650,33795,13669,2667,9697,6598,1667,6015,5
21,47,245745,132068,37342,32805,13788,10379,9423,10399,5
17,47,1112125,245837,42291,29710,12880,10338,34275,6831,5
23,40,74612,65093,18469,13321,17140,8057,4003,7533,5
13,43,168314,45219,9929,11342,3225,2335,790,625,5
35,37,14639,4896,3690,2667,17072,8683,3968,10236,5
54,29,66299,35226,4962,2096,8617,17416,6236,2721,5
67,16,36827,36407,2975,3137,6650,23244,6144,5713,5
78,10,2287,37935,5161,6362,10900,5311,6295,5350,5
70,11,85516,12807,3482,2207,2665,8036,8871,5945,5
74,16,17778,8988,7226,394,16322,8189,3765,9915,5
56,24,78677,46657,8734,4680,13353,4543,1788,1977,5
50,35,1067171,77502,37270,22646,8806,5639,1197,2011,5
40,34,1569848,87907,23639,16154,11707,20905,24812,17533,7
57,41,53718,23103,15142,6755,5164,20523,6553,5600,7
40,38,964374,891743,181314,68354,50327,19913,28102,7850,7
24,27,600091,505589,38524,12051,51806,10299,15732,8377,7
23,26,301812,53096,13809,8049,23045,9133,10100,4675,7
17,17,61595,66766,9665,6651,7227,24212,14468,3438,7
26,17,288257,998046,318459,23317,55688,68212,13973,4404,7
34,23,785336,62926,5882,4532,5600,3279,1367,841,7
38,26,1914087,177321,46855,36835,11027,50840,16558,12598,7
41,40,823070,61802,45540,90287,53445,95444,53293,9928,7
43,43,729935,70611,25371,9834,7513,6149,2412,2100,7
50,48,125083,113480,11041,34429,31107,17704,10107,2088,7
43,40,878647,433507,39096,19550,13606,43940,22839,11761,7
30,29,246522,105186,11782,24016,24878,13933,16310,3945,7
30,26,244865,104455,29061,6533,3727,9300,3054,2170,7
29,41,938139,127740,14252,49819,41816,15291,9245,8878,7
35,51,1855196,41219,48481,13216,25902,19155,8406,4406,7
48,50,75112,21615,7667,3319,6172,11664,12172,7991,7
53,44,16462,56633,9831,18554,24447,12337,11540,2612,7
61,47,11916,31621,17412,4365,7828,14996,11312,11662,7
57,29,260160,313799,22338,24158,30007,34616,13428,3238,7
44,27,676432,144840,27489,14453,30930,13603,6747,8685,7
38,16,1218720,202320,5972,10792,39201,13952,7488,3782,7
37,11,136736,63051,22981,5217,25407,19570,11521,7861,7
37,16,32654,50979,14191,1660,10631,7971,7953,10023,7
29,7,189669,438175,27572,6982,10331,14475,8721,6163,7
43,17,272632,36528,10267,3579,7930,15627,4970,7548,7
43,23,391313,5846,2947,2453,3120,2191,2641,1583,7
53,27,41450,23154,13469,4307,6345,15955,5767,4061,7
66,41,98563,42626,11889,14973,27700,13203,10715,8788,7
48,34,303577,145923,45824,19139,37659,29380,6347,16119,7
34,35,268288,258795,57506,68975,14612,22790,24342,16523,7
29,38,312296,128810,55745,18221,23556,22692,18629,12663,7
26,37,496665,40283,555,5553,4383,1323,936,758,7
29,41,23429,37455,19267,12526,7174,16165,12762,4056,7
34,41,1293522,66218,35633,6670,11072,9225,9051,7665,7
48,43,770830,9819,7134,11927,6485,21382,8003,27303,7
67,50,250967,68932,28523,10193,25310,51839,4429,5617,7
56,29,371598,91247,1896,4514,7777,4707,4389,1790,7
61,26,12472,46195,13794,11582,25254,11973,7086,4431,7
53,17,10063,30375,7044,3189,9549,9192,9887,2593,7
47,21,7941,31044,3500,19488,25627,10725,11541,1734,7
